Date_first,Initial_time,ab_time2,cruise,cruise_number,time,depth,BB,SGR,Virus
2010/10/14,00:51:56,0.87,OR1-CR944,1,0,-2,11.6261,0.111166364,6.6935
2010/10/14,,0.87,OR1-CR944,1,0,-5,16.2819,0.158138278,5.373
2010/10/14,,0.87,OR1-CR944,1,0,-10,16.9321,0.035686866,5.468
2010/10/14,,0.87,OR1-CR944,1,0,-20,21.0863,0.057471634,6.9935
2010/10/14,,0.87,OR1-CR944,1,0,-30,11.7927,0.049816306,8.492
2010/10/14,,0.87,OR1-CR944,1,0,-50,21.7864,0.027273101,5.063
2010/10/14,,0.87,OR1-CR944,1,0,-80,5.0387,0.227852779,1.6145
2010/10/14,,0.87,OR1-CR944,1,0,-100,7.7871,0.121137134,1.1925
2010/10/14,,3.62,OR1-CR944,1,2.75,-2,17.4068,0.063589571,4.7815
2010/10/14,,3.62,OR1-CR944,1,2.75,-5,12.3058,0.070189492,3.879
2010/10/14,,3.62,OR1-CR944,1,2.75,-10,12.9685,0.100183978,4.5035
2010/10/14,,3.62,OR1-CR944,1,2.75,-20,11.7731,0.063809377,3.845
2010/10/14,,3.62,OR1-CR944,1,2.75,-50,9.75,0.074071895,2.3375
2010/10/14,,3.62,OR1-CR944,1,2.75,-80,5.2379,0.127486915,0.964
2010/10/14,,3.62,OR1-CR944,1,2.75,-100,4.3488,0.148544152,0.7475
2010/10/14,,6.05,OR1-CR944,1,5.18,-2,14.5255,0.47964454,2.456
2010/10/14,,6.05,OR1-CR944,1,5.18,-10,15.1446,0.077520721,2.2635
2010/10/14,,6.05,OR1-CR944,1,5.18,-20,19.5547,0.045966407,3.379
2010/10/14,,6.05,OR1-CR944,1,5.18,-50,11.3014,0.091222024,3.629
2010/10/14,,6.05,OR1-CR944,1,5.18,-80,8.0392,0.090360367,1.14
2010/10/14,,6.05,OR1-CR944,1,5.18,-100,6.0612,0.286909784,0.7435
2010/10/14,,8.97,OR1-CR944,1,8.1,-2,13.5366,0.061252592,3.637
2010/10/14,,8.97,OR1-CR944,1,8.1,-5,17.4886,0.040837785,4.317
2010/10/14,,8.97,OR1-CR944,1,8.1,-10,32.4852,,3.944
2010/10/14,,8.97,OR1-CR944,1,8.1,-20,14.8878,0.049779035,4.399
2010/10/14,,8.97,OR1-CR944,1,8.1,-50,14.4683,0.047165134,2.621
2010/10/14,,8.97,OR1-CR944,1,8.1,-80,7.8936,0.057633129,0.8145
2010/10/14,,8.97,OR1-CR944,1,8.1,-100,7.4668,0.175903361,0.8415
2010/10/14,,11.97,OR1-CR944,1,11.1,-2,21.9175,,3.756
2010/10/14,,11.97,OR1-CR944,1,11.1,-5,21.2689,0.03992784,3.582
2010/10/14,,11.97,OR1-CR944,1,11.1,-10,16.4956,0.051261675,3.985
2010/10/14,,11.97,OR1-CR944,1,11.1,-20,12.2577,0.053490177,4.87
2010/10/14,,11.97,OR1-CR944,1,11.1,-50,12.5557,0.043645654,4.051
2010/10/14,,11.97,OR1-CR944,1,11.1,-80,16.792,,1.7145
2010/10/14,,11.97,OR1-CR944,1,11.1,-100,7.7536,0.05897557,0.851
2010/10/14,,18.54,OR1-CR944,1,17.67,-2,12.1576,0.062587346,5.2575
2010/10/14,,18.54,OR1-CR944,1,17.67,-5,21.0991,0.066470375,4.0125
2010/10/14,,18.54,OR1-CR944,1,17.67,-10,13.9869,0.201606505,3.8095
2010/10/14,,18.54,OR1-CR944,1,17.67,-20,16.3648,0.047180643,4.5615
2010/10/14,,18.54,OR1-CR944,1,17.67,-50,11.5544,0.046162876,3.4745
2010/10/14,,18.54,OR1-CR944,1,17.67,-80,9.5814,0.184135017,1.3025
2010/10/14,,18.54,OR1-CR944,1,17.67,-100,6.5205,0.258560245,0.632
2010/10/14,,20.92,OR1-CR944,1,20.05,-2,13.7985,0.08800002,4.093
2010/10/14,,20.92,OR1-CR944,1,20.05,-5,16.74,0.086435435,3.7475
2010/10/14,,20.92,OR1-CR944,1,20.05,-10,16.4458,0.085691196,3.0355
2010/10/14,,20.92,OR1-CR944,1,20.05,-20,33.8251,0.039501384,4.7565
2010/10/14,,20.92,OR1-CR944,1,20.05,-50,18.1975,0.044565979,2.788
2010/10/14,,20.92,OR1-CR944,1,20.05,-80,6.2461,0.224558175,0.986
2010/10/14,,0.97,OR1-CR944,1,24.1,-2,14.6757,0.070851692,3.066
2010/10/14,,0.97,OR1-CR944,1,24.1,-5,23.606,0.054549567,3.3625
2010/10/14,,0.97,OR1-CR944,1,24.1,-10,16.3907,0.30290739,4.856
2010/10/14,,0.97,OR1-CR944,1,24.1,-20,14.1051,0.11106503,5.3155
2010/10/14,,0.97,OR1-CR944,1,24.1,-30,10.2113,0.091712805,4.4675
2010/10/14,,0.97,OR1-CR944,1,24.1,-50,10.6085,0.228162073,1.775
2010/10/14,,0.97,OR1-CR944,1,24.1,-80,17.216,0.055597422,
2010/10/14,,0.97,OR1-CR944,1,24.1,-100,26.0822,0.04857868,
2011/12/24,00:14:19,0.24,OR1-CR988,2,0,-5,14.9224,0.129750477,6.182
2011/12/24,,0.24,OR1-CR988,2,0,-20,16.571,0.085738689,6.0925
2011/12/24,,0.24,OR1-CR988,2,0,-50,12.8037,0.234644167,4.2865
2011/12/24,,0.24,OR1-CR988,2,0,-80,7.2571,0.230821029,2.7065
2011/12/24,,0.24,OR1-CR988,2,0,-100,5.3923,0.277945568,2.3595
2011/12/24,,5.04,OR1-CR988,2,4.8,-5,15.2354,0.126054837,8
2011/12/24,,5.04,OR1-CR988,2,4.8,-20,14.2367,0.153267738,2.884
2011/12/24,,5.04,OR1-CR988,2,4.8,-50,12.2873,0.108011682,5.1
2011/12/24,,5.04,OR1-CR988,2,4.8,-100,5.2495,0.305861095,2.0445
2011/12/24,,8.14,OR1-CR988,2,7.9,-5,14.6112,0.12721999,6.876
2011/12/24,,8.14,OR1-CR988,2,7.9,-20,15.3932,0.12058596,5.969
2011/12/24,,8.14,OR1-CR988,2,7.9,-50,12.7529,0.118608993,6.8125
2011/12/24,,8.14,OR1-CR988,2,7.9,-100,5.3527,0.5961647,2.1305
2011/12/24,,10.99,OR1-CR988,2,10.75,-5,15.2016,0.092094151,9.494
2011/12/24,,10.99,OR1-CR988,2,10.75,-20,14.1943,0.105637056,9.2735
2011/12/24,,10.99,OR1-CR988,2,10.75,-50,13.7255,0.106527592,6.0885
2011/12/24,,10.99,OR1-CR988,2,10.75,-100,5.6739,0.197216748,3.313
2011/12/24,,16.99,OR1-CR988,2,16.75,-5,14.7528,0.098514728,7.326
2011/12/24,,16.99,OR1-CR988,2,16.75,-20,15.3841,0.116720952,6.4785
2011/12/24,,16.99,OR1-CR988,2,16.75,-50,15.9785,0.09095773,6.134
2011/12/24,,16.99,OR1-CR988,2,16.75,-100,7.3056,0.163259647,2.675
2011/12/24,,20.17,OR1-CR988,2,19.93333333,-5,17.1492,0.079344199,6.753
2011/12/24,,20.17,OR1-CR988,2,19.93333333,-20,17.0365,0.097734529,8.6865
2011/12/24,,20.17,OR1-CR988,2,19.93333333,-50,15.0963,0.10699174,7.4995
2011/12/24,,20.17,OR1-CR988,2,19.93333333,-100,6.1336,0.312121559,2.576
2011/12/24,,23.01,OR1-CR988,2,22.76666667,-5,17.7268,0.071928939,6.3925
2011/12/24,,23.01,OR1-CR988,2,22.76666667,-20,17.5114,0.102031371,6.258
2011/12/24,,23.01,OR1-CR988,2,22.76666667,-50,15.4496,0.062692028,6.676
2011/12/24,,23.01,OR1-CR988,2,22.76666667,-100,5.5714,0.183065323,2.9085
2011/12/24,,5.04,OR1-CR988,2,28.8,-5,15.7592,0.097727845,8.179
2011/12/24,,5.04,OR1-CR988,2,28.8,-20,17.0633,0.101541129,3.704
2011/12/24,,5.04,OR1-CR988,2,28.8,-50,17.215,0.087087042,7.806
2011/12/24,,5.04,OR1-CR988,2,28.8,-100,6.2287,0.127493793,9.382
2012/8/31,06:42:12,6.7,OR1-CR1010,3,0,-5,10.5033,0.083345926,11.193
2012/8/31,,6.7,OR1-CR1010,3,0,-10,10.6871,0.068723214,11.505
2012/8/31,,6.7,OR1-CR1010,3,0,-20,12.7585,0.056208923,11.436
2012/8/31,,6.7,OR1-CR1010,3,0,-50,9.9227,0.090465638,13.3955
2012/8/31,,6.7,OR1-CR1010,3,0,-80,4.1772,0.131423973,6.1355
2012/8/31,,6.7,OR1-CR1010,3,0,-100,4.096,0.156971311,4.325
2012/8/31,,13.04,OR1-CR1010,3,6.333333333,-5,9.6007,0.101453882,7.285
2012/8/31,,13.04,OR1-CR1010,3,6.333333333,-10,9.6299,0.108276666,8.4775
2012/8/31,,13.04,OR1-CR1010,3,6.333333333,-20,11.7975,0.080622156,7.931
2012/8/31,,13.04,OR1-CR1010,3,6.333333333,-50,9.151,0.115332667,8.3935
2012/8/31,,13.04,OR1-CR1010,3,6.333333333,-80,10.5905,0.096054191,10.991
2012/8/31,,13.04,OR1-CR1010,3,6.333333333,-100,5.5414,0.135845421,3.4035
2012/8/31,,16.07,OR1-CR1010,3,9.366666667,-5,9.3741,0.101161179,6.89175
2012/8/31,,16.07,OR1-CR1010,3,9.366666667,-10,9.4344,0.101720782,9.154
2012/8/31,,16.07,OR1-CR1010,3,9.366666667,-20,9.8046,0.104972786,7.882
2012/8/31,,16.07,OR1-CR1010,3,9.366666667,-50,8.8718,0.137957658,10.419
2012/8/31,,16.07,OR1-CR1010,3,9.366666667,-80,6.628,0.108736301,5.6595
2012/8/31,,16.07,OR1-CR1010,3,9.366666667,-100,4.3401,0.129349702,3.358
2012/8/31,,19.05,OR1-CR1010,3,12.35,-5,8.2005,0.153259799,9.8115
2012/8/31,,19.05,OR1-CR1010,3,12.35,-10,9.1536,0.123903254,9.383
2012/8/31,,19.05,OR1-CR1010,3,12.35,-20,10.277,0.094242026,9.0825
2012/8/31,,19.05,OR1-CR1010,3,12.35,-50,8.5901,0.096557902,10.9075
2012/8/31,,19.05,OR1-CR1010,3,12.35,-80,4.5488,0.102845923,5.357
2012/8/31,,19.05,OR1-CR1010,3,12.35,-100,4.3749,0.095373563,4.2175
2012/8/31,,22.04,OR1-CR1010,3,15.33333333,-5,9.3437,0.097437073,7.4345
2012/8/31,,22.04,OR1-CR1010,3,15.33333333,-10,9.3502,0.094737734,7.1505
2012/8/31,,22.04,OR1-CR1010,3,15.33333333,-20,9.8631,0.096226277,7.633
2012/8/31,,22.04,OR1-CR1010,3,15.33333333,-50,7.5877,0.097904173,8.104
2012/8/31,,22.04,OR1-CR1010,3,15.33333333,-80,4.685,0.105041713,3.8135
2012/8/31,,22.04,OR1-CR1010,3,15.33333333,-100,4.3235,0.095937831,2.5355
2012/8/31,,1,OR1-CR1010,3,18.3,-5,11.4849,0.044576387,7.7875
2012/8/31,,1,OR1-CR1010,3,18.3,-10,11.4915,0.053970093,7.3305
2012/8/31,,1,OR1-CR1010,3,18.3,-20,11.0903,0.096809238,7.862
